,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,3.0223325062034734,,
1,1,1,No,44.281,49.312,1.077571382219338,,
2,2,1,No,48.452,53.195,1.0930049816712095,,
3,3,1,No,49.489,53.848,1.1028599019462189,,
4,4,1,No,49.903,53.837,1.1123130932258483,,
5,5,1,No,49.666,54.0,1.1036888888888887,,
6,6,1,No,49.896,54.095,1.106852759035031,,
7,7,1,No,49.419,54.081,1.096555167249126,,
8,8,1,Timesweep,49.64,54.112,1.1008279124778237,0.0,1.0
9,9,1,Timesweep,49.862,54.15,1.1049750692520774,17.0,1.14
10,10,1,Timesweep,49.46,54.214,1.0947725679713727,34.0,1.28
11,11,1,Timesweep,49.916,54.362,1.101857915455649,51.0,1.42
12,12,1,Timesweep,50.123,54.229,1.1091408655885227,68.0,1.57
13,13,1,Timesweep,50.014,53.865,1.1142077415761626,85.0,1.71
14,14,1,Timesweep,49.767,54.221,1.1014256468895816,102.0,1.85
