,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-3.2229540942928034,,
1,1,1,No,44.281,49.312,-0.5056366138059702,,
2,2,1,No,48.452,53.195,-0.5272012106400976,,
3,3,1,No,49.489,53.848,-0.5409709979943544,,
4,4,1,No,49.903,53.837,-0.5541794695098166,,
5,5,1,No,49.666,54.0,-0.5421292999999998,,
6,6,1,No,49.896,54.095,-0.5465500175616973,,
7,7,1,No,49.419,54.081,-0.5321617074388416,,
8,8,1,Timesweep,49.64,54.112,-0.5381318007096394,0.0,1.0
9,9,1,Timesweep,49.862,54.15,-0.5439264155124655,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,-0.5296709705980007,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,-0.5395709723704056,51.0,1.425
12,12,1,Timesweep,50.123,54.229,-0.5497470744435635,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,-0.5568267669172933,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,-0.538966985116468,102.0,1.85
15,15,1,Timesweep,50.001,54.016,-0.5520711770586495,119.0,1.9917
16,16,2,No,49.544,53.774,-0.544806501283148,,
17,17,2,No,50.034,54.013,-0.5531817858663657,,
18,18,2,No,49.4,53.96,-0.5350070422535211,,
19,19,2,No,49.524,53.932,-0.5396590298894903,,
20,20,2,No,49.712,53.843,-0.5480584365655703,,
21,21,2,No,49.747,54.303,-0.536025540025413,,
22,22,2,Timesweep,49.282,53.838,-0.5348105315947844,0.0,2.0
23,23,2,Timesweep,48.978,53.759,-0.5275844528358042,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,-0.5381682509789296,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,-0.5467999389680045,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,-0.5364555762081786,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,-0.5463933189414525,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,-0.5349263228674423,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,-0.5139535019780466,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,-0.5397513380137433,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,-0.5401035792059861,153.0,2.85
32,32,2,Timesweep,48.76,53.42,-0.5304360164732309,170.0,2.9444
