,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-3.2229540942928034,,
1,1,1,No,44.281,49.312,-0.5056366138059702,,
2,2,1,No,48.452,53.195,-0.5272012106400976,,
3,3,1,No,49.489,53.848,-0.5409709979943544,,
4,4,1,No,49.903,53.837,-0.5541794695098166,,
5,5,1,No,49.666,54.0,-0.5421292999999998,,
6,6,1,No,49.896,54.095,-0.5465500175616973,,
7,7,1,No,49.419,54.081,-0.5321617074388416,,
8,8,1,No,49.64,54.112,-0.5381318007096394,,
9,9,1,No,49.862,54.15,-0.5439264155124655,,
10,10,1,No,49.46,54.214,-0.5296709705980007,,
11,11,1,No,49.916,54.362,-0.5395709723704056,,
12,12,1,No,50.123,54.229,-0.5497470744435635,,
13,13,1,No,50.014,53.865,-0.5568267669172933,,
14,14,1,No,49.767,54.221,-0.538966985116468,,
15,15,1,No,50.001,54.016,-0.5520711770586495,,
16,16,1,No,49.544,53.774,-0.544806501283148,,
17,17,1,No,50.034,54.013,-0.5531817858663657,,
18,18,1,No,49.4,53.96,-0.5350070422535211,,
19,19,1,No,49.524,53.932,-0.5396590298894903,,
20,20,1,No,49.712,53.843,-0.5480584365655703,,
21,21,1,No,49.747,54.303,-0.536025540025413,,
22,22,1,No,49.282,53.838,-0.5348105315947844,,
23,23,1,No,48.978,53.759,-0.5275844528358042,,
24,24,1,No,49.199,53.63,-0.5381682509789296,,
25,25,1,No,49.881,54.07,-0.5467999389680045,,
26,26,1,No,49.3,53.8,-0.5364555762081786,,
27,27,1,No,49.558,53.734,-0.5463933189414525,,
28,28,1,No,49.012,53.539,-0.5349263228674423,,
29,29,1,No,48.615,53.841,-0.5139535019780466,,
30,30,1,No,49.313,53.699,-0.5397513380137433,,
31,31,1,No,49.35,53.727,-0.5401035792059861,,
32,32,1,No,48.76,53.42,-0.5304360164732309,,
33,33,1,No,48.674,53.21,-0.5337661304266115,,
34,34,1,No,49.174,53.622,-0.5376160120845923,,
35,35,1,No,49.144,53.555,-0.5386004070581645,,
36,36,1,No,49.202,53.659,-0.5374306900985857,,
37,37,1,No,48.987,53.369,-0.5390302029267928,,
38,38,1,No,48.762,53.482,-0.5287245316181146,,
39,39,1,No,48.724,53.838,-0.5174324974924775,,
40,40,1,No,49.199,54.4,-0.5163963841911765,,
41,41,1,No,50.637,55.185,-0.5385169502582223,,
42,42,1,No,50.286,55.296,-0.5247854492187503,,
43,43,1,No,50.505,55.321,-0.5307339617866635,,
44,44,1,No,49.162,54.514,-0.5120872693253109,,
45,45,1,No,49.627,55.142,-0.5090056744405353,,
46,46,1,No,49.571,55.034,-0.5102608514736344,,
47,47,1,No,49.53,54.961,-0.5110160113535054,,
48,48,1,No,49.835,55.283,-0.5114654505001537,,
49,49,1,No,49.141,54.992,-0.49830365689554856,,
50,50,1,No,49.109,55.296,-0.48909614257812506,,
51,51,1,No,49.349,55.309,-0.4960217740331594,,
52,52,1,No,48.551,54.885,-0.48320054113145683,,
53,53,1,No,48.767,55.536,-0.4723355823249784,,
54,54,1,No,48.625,55.103,-0.47958436927209047,,
