,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,2.518610421836228,,
1,1,1,No,44.281,49.312,0.8979761518494485,,
2,2,1,No,48.452,53.195,0.910837484726008,,
3,3,1,No,49.489,53.848,0.9190499182885158,,
4,4,1,No,49.903,53.837,0.9269275776882069,,
5,5,1,Timesweep,49.666,54.0,0.9197407407407406,0.0,1.0
6,6,1,Timesweep,49.896,54.095,0.9223772991958592,17.0,1.14
7,7,1,Timesweep,49.419,54.081,0.9137959727076052,34.0,1.28
8,8,1,Timesweep,49.64,54.112,0.9173565937315198,51.0,1.42
9,9,1,Timesweep,49.862,54.15,0.9208125577100646,68.0,1.57
10,10,1,Timesweep,49.46,54.214,0.9123104733094773,85.0,1.71
11,11,1,Timesweep,49.916,54.362,0.9182149295463742,102.0,1.85
