,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-1.7392406947890815,,
1,1,1,No,44.281,49.312,0.023361137248539943,,
2,2,1,No,48.452,53.195,0.009373151611993813,,
3,3,1,No,49.489,53.848,0.0004413088694102951,,
4,4,1,No,49.903,53.837,-0.008126433493693686,,
5,5,1,No,49.666,54.0,-0.00031002962962944913,,
6,6,1,No,49.896,54.095,-0.003177550605416357,,
7,7,1,No,49.419,54.081,0.006155500083208754,,
8,8,1,Timesweep,49.64,54.112,0.002282968657599138,0.0,1.0
9,9,1,Timesweep,49.862,54.15,-0.0014757377654661674,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,0.007771129228612561,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,0.0013494426253635172,51.0,1.425
12,12,1,Timesweep,50.123,54.229,-0.005251337845064263,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,-0.009843616448528714,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,0.0017412220357426733,102.0,1.85
15,15,1,Timesweep,50.001,54.016,-0.006758878850710914,119.0,1.9917
16,16,2,No,49.544,53.774,-0.0020466098858182846,,
17,17,2,No,50.034,54.013,-0.0074792809138539695,,
18,18,2,No,49.4,53.96,0.004309859154929652,,
19,19,2,No,49.524,53.932,0.0012923236668398452,,
20,20,2,No,49.712,53.843,-0.004155994279664954,,
21,21,2,No,49.747,54.303,0.0036492053846013395,,
22,22,2,Timesweep,49.282,53.838,0.004437326795200591,0.0,2.0
23,23,2,Timesweep,48.978,53.759,0.009124559608623795,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,0.0022593250046617497,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,-0.0033396633992970326,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,0.003370260223048427,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,-0.003075907246808285,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,0.004362218196081513,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,0.01796634535019792,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,0.001232447531611447,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,0.0010039644871293607,153.0,2.85
32,32,2,Timesweep,48.76,53.42,0.007274878322725775,170.0,2.9444
