,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-4.011757692307691,,
1,1,1,No,44.281,49.312,-0.786873764803699,,
2,2,1,No,48.452,53.195,-0.8124664024814361,,
3,3,1,No,49.489,53.848,-0.8288082419031346,,
4,4,1,No,49.903,53.837,-0.844483917565986,,
5,5,1,No,49.666,54.0,-0.8301829025925924,,
6,6,1,No,49.896,54.095,-0.8354293638968482,,
7,7,1,No,49.419,54.081,-0.8183534681311364,,
8,8,1,Timesweep,49.64,54.112,-0.8254387123004139,0.0,1.0
9,9,1,Timesweep,49.862,54.15,-0.8323157004616806,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,-0.8153974877337957,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,-0.8271467061550344,51.0,1.425
12,12,1,Timesweep,50.123,54.229,-0.8392235975216211,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,-0.8476257024041585,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,-0.8264299004075912,102.0,1.85
15,15,1,Timesweep,50.001,54.016,-0.8419818181649881,119.0,1.9917
16,16,2,No,49.544,53.774,-0.8333601770372296,,
17,17,2,No,50.034,54.013,-0.8432998770666322,,
18,18,2,No,49.4,53.96,-0.8217302816901408,,
19,19,2,No,49.524,53.932,-0.8272512118964621,,
20,20,2,No,49.712,53.843,-0.8372195397730438,,
21,21,2,No,49.747,54.303,-0.822939024179143,,
22,22,2,Timesweep,49.282,53.838,-0.8214970648983988,0.0,2.0
23,23,2,Timesweep,48.978,53.759,-0.812921230305623,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,-0.8254819710982657,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,-0.8357259680044387,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,-0.8234493866171004,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,-0.835243395615439,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,-0.821634484768113,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,-0.7967441605839416,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,-0.8273607622115868,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,-0.8277787983695348,153.0,2.85
32,32,2,Timesweep,48.76,53.42,-0.8163054361662296,170.0,2.9444
