,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-2.943278777915632,,
1,1,1,No,44.281,49.312,-0.4059221989880759,,
2,2,1,No,48.452,53.195,-0.42605862840492525,,
3,3,1,No,49.489,53.848,-0.4389164783928836,,
4,4,1,No,49.903,53.837,-0.451250187036796,,
5,5,1,No,49.666,54.0,-0.4399980690555554,,
6,6,1,No,49.896,54.095,-0.44412601393844175,,
7,7,1,No,49.419,54.081,-0.4306906043434846,,
8,8,1,Timesweep,49.64,54.112,-0.4362653137936132,0.0,1.0
9,9,1,Timesweep,49.862,54.15,-0.44167616626038786,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,-0.4283648225550598,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,-0.4376091728413227,51.0,1.425
12,12,1,Timesweep,50.123,54.229,-0.4471113380202474,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,-0.45372216079086614,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,-0.43704518609948195,102.0,1.85
15,15,1,Timesweep,50.001,54.016,-0.44928152133627086,119.0,1.9917
16,16,2,No,49.544,53.774,-0.4424979662290325,,
17,17,2,No,50.034,54.013,-0.4503185773980338,,
18,18,2,No,49.4,53.96,-0.4333475,,
19,19,2,No,49.524,53.932,-0.4376913985389008,,
20,20,2,No,49.712,53.843,-0.4455345342570065,,
21,21,2,No,49.747,54.303,-0.4342985453013646,,
22,22,2,Timesweep,49.282,53.838,-0.43316400373342234,0.0,2.0
23,23,2,Timesweep,48.978,53.759,-0.42641648946222954,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,-0.4362993500559387,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,-0.4443593836970594,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,-0.43470010130111536,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,-0.44397969306212093,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,-0.43327212644987756,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,-0.41368828118905654,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,-0.4377775933350714,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,-0.4381065065051093,153.0,2.85
32,32,2,Timesweep,48.76,53.42,-0.4290792014226881,170.0,2.9444
