,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,2.518610421836228,,
1,1,1,No,44.281,49.312,0.8979761518494485,,
2,2,1,No,48.452,53.195,0.910837484726008,,
3,3,1,No,49.489,53.848,0.9190499182885158,,
4,4,1,No,49.903,53.837,0.9269275776882069,,
5,5,1,No,49.666,54.0,0.9197407407407406,,
6,6,1,No,49.896,54.095,0.9223772991958592,,
7,7,1,No,49.419,54.081,0.9137959727076052,,
8,8,1,No,49.64,54.112,0.9173565937315198,,
9,9,1,No,49.862,54.15,0.9208125577100646,,
10,10,1,Timesweep,49.46,54.214,0.9123104733094773,0.0,1.0
11,11,1,Timesweep,49.916,54.362,0.9182149295463742,17.0,1.19
12,12,1,Timesweep,50.123,54.229,0.9242840546571023,34.0,1.38
13,13,1,Timesweep,50.014,53.865,0.9285064513134689,51.0,1.57
14,14,1,Timesweep,49.767,54.221,0.917854705741318,68.0,1.76
15,15,1,Timesweep,50.001,54.016,0.9256701718009479,85.0,1.94
16,16,1,Timesweep,49.544,53.774,0.9213374493249525,102.0,2.13
17,17,1,Timesweep,50.034,54.013,0.9263325495713995,119.0,2.32
18,18,1,Timesweep,49.4,53.96,0.9154929577464789,136.0,2.51
19,19,1,Timesweep,49.524,53.932,0.9182674478973522,153.0,2.7
