,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-1.518610421836228,,
1,1,1,No,44.281,49.312,0.10202384815055154,,
2,2,1,No,48.452,53.195,0.089162515273992,,
3,3,1,No,49.489,53.848,0.08095008171148421,,
4,4,1,No,49.903,53.837,0.07307242231179312,,
5,5,1,No,49.666,54.0,0.08025925925925936,,
6,6,1,No,49.896,54.095,0.0776227008041408,,
7,7,1,No,49.419,54.081,0.08620402729239485,,
8,8,1,Timesweep,49.64,54.112,0.08264340626848021,0.0,1.0
9,9,1,Timesweep,49.862,54.15,0.07918744228993535,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,0.08768952669052266,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,0.08178507045362582,51.0,1.425
12,12,1,Timesweep,50.123,54.229,0.07571594534289772,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,0.07149354868653113,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,0.082145294258682,102.0,1.85
15,15,1,Timesweep,50.001,54.016,0.0743298281990521,119.0,1.9917
16,16,2,No,49.544,53.774,0.07866255067504746,,
17,17,2,No,50.034,54.013,0.07366745042860046,,
18,18,2,No,49.4,53.96,0.08450704225352113,,
19,19,2,No,49.524,53.932,0.08173255210264785,,
20,20,2,No,49.712,53.843,0.07672306520810501,,
21,21,2,No,49.747,54.303,0.08389960039040201,,
22,22,2,Timesweep,49.282,53.838,0.08462424309966943,0.0,2.0
23,23,2,Timesweep,48.978,53.759,0.088933945943935,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,0.08262166697743811,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,0.07747364527464395,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,0.08364312267657992,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,0.0777161573677746,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,0.0845551840714246,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,0.0970635760851396,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,0.08167749864988172,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,0.0814674186163381,153.0,2.85
32,32,2,Timesweep,48.76,53.42,0.08723324597529025,170.0,2.9444
