,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes,Mn,Mw,D
0,0,1,No,-1.015,-0.403,-1.518610421836228,,,,,
1,1,1,No,44.281,49.312,0.10202384815055154,,,,,
2,2,1,No,48.452,53.195,0.089162515273992,,,,,
3,3,1,No,49.489,53.848,0.08095008171148421,,,,,
4,4,1,No,49.903,53.837,0.07307242231179312,,,,,
5,5,1,No,49.666,54.0,0.08025925925925936,,,,,
6,6,1,No,49.896,54.095,0.0776227008041408,,,,,
7,7,1,No,49.419,54.081,0.08620402729239485,,,,,
8,8,1,No,49.64,54.112,0.08264340626848021,,,,,
9,9,1,No,49.862,54.15,0.07918744228993535,,,,,
10,10,1,No,49.46,54.214,0.08768952669052266,,,,,
11,11,1,No,49.916,54.362,0.08178507045362582,,,,,
12,12,1,No,50.123,54.229,0.07571594534289772,,,,,
13,13,1,No,50.014,53.865,0.07149354868653113,,,,,
14,14,1,No,49.767,54.221,0.082145294258682,,,,,
15,15,1,Timesweep,50.001,54.016,0.0743298281990521,0.0,2.0,8420.0,8497.0,1.009
16,16,1,Timesweep,49.544,53.774,0.07866255067504746,17.0,2.1417,,,
17,17,1,Timesweep,50.034,54.013,0.07366745042860046,34.0,2.2833,,,
18,18,1,Timesweep,49.4,53.96,0.08450704225352113,51.0,2.425,,,
19,19,1,Timesweep,49.524,53.932,0.08173255210264785,68.0,2.5667,,,
20,20,1,Timesweep,49.712,53.843,0.07672306520810501,85.0,2.7083,,,
21,21,1,Timesweep,49.747,54.303,0.08389960039040201,102.0,2.85,,,
22,22,1,Timesweep,49.282,53.838,0.08462424309966943,119.0,2.9917,,,
23,23,1,Timesweep,48.978,53.759,0.088933945943935,136.0,3.1333,,,
24,24,1,Timesweep,49.199,53.63,0.08262166697743811,153.0,3.275,,,
25,25,1,Timesweep,49.881,54.07,0.07747364527464395,170.0,3.4167,,,
26,26,1,Timesweep,49.3,53.8,0.08364312267657992,187.0,3.5583,8420.0,8497.0,1.009
27,27,1,Timesweep,49.558,53.734,0.0777161573677746,204.0,3.7,,,
28,28,1,Timesweep,49.012,53.539,0.0845551840714246,221.0,3.8417,,,
29,29,1,Timesweep,48.615,53.841,0.0970635760851396,238.0,3.9833,,,
30,30,2,No,49.313,53.699,0.08167749864988172,,,,,
31,31,2,No,49.35,53.727,0.0814674186163381,,,,,
32,32,2,No,48.76,53.42,0.08723324597529025,,,,,
33,33,2,No,48.674,53.21,0.08524713399736894,,,,,
34,34,2,No,49.174,53.622,0.08295102756331352,,,,,
35,35,2,No,49.144,53.555,0.08236392493698075,,,,,
36,36,2,No,49.202,53.659,0.08306155537747628,,,,,
37,37,2,No,48.987,53.369,0.08210759054882044,,,,,
38,38,2,No,48.762,53.482,0.08825399199730743,,,,,
39,39,2,No,48.724,53.838,0.09498866971284226,,,,,
40,40,2,No,49.199,54.4,0.0956066176470588,,,,,
41,41,2,Timesweep,50.637,55.185,0.08241369937483012,0.0,4.0,8420.0,8497.0,1.009
42,42,2,Timesweep,50.286,55.296,0.09060329861111105,17.0,4.1417,,,
43,43,2,Timesweep,50.505,55.321,0.08705554852587616,34.0,4.2833,,,
44,44,2,Timesweep,49.162,54.514,0.0981766151814214,51.0,4.425,,,
45,45,2,Timesweep,49.627,55.142,0.10001450799753364,68.0,4.5667,,,
46,46,2,Timesweep,49.571,55.034,0.09926590834756699,85.0,4.7083,,,
47,47,2,Timesweep,49.53,54.961,0.09881552373501201,102.0,4.85,,,
48,48,2,Timesweep,49.835,55.283,0.0985474739069877,119.0,4.9917,,,
49,49,2,Timesweep,49.141,54.992,0.1063972941518766,136.0,5.1333,,,
50,50,2,Timesweep,49.109,55.296,0.11188874421296291,153.0,5.275,,,
51,51,2,Timesweep,49.349,55.309,0.10775823102930804,170.0,5.4167,,,
52,52,2,Timesweep,48.551,54.885,0.11540493759679327,187.0,5.5583,8420.0,8497.0,1.009
53,53,2,Timesweep,48.767,55.536,0.1218849034860271,204.0,5.7,,,
54,54,2,Timesweep,48.625,55.103,0.11756165726004031,221.0,5.8417,,,
55,55,2,Timesweep,47.525,54.916,0.13458736980115082,238.0,5.9833,,,
56,56,2,Timesweep,47.919,55.112,0.13051604006387008,255.0,6.125,,,
57,57,2,Timesweep,47.6,54.78,0.131069733479372,272.0,6.2667,,,
