,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,-2.381344151612903,,
1,1,1,No,44.281,49.312,-0.20557208173953612,,
2,2,1,No,48.452,53.195,-0.22283898110875078,,
3,3,1,No,49.489,53.848,-0.23386453073577473,,
4,4,1,No,49.903,53.837,-0.24444063147315043,,
5,5,1,No,49.666,54.0,-0.23479198995629624,,
6,6,1,No,49.896,54.095,-0.2383316844780481,,
7,7,1,No,49.419,54.081,-0.22681088003661176,,
8,8,1,Timesweep,49.64,54.112,-0.23159116879065644,0.0,1.0
9,9,1,Timesweep,49.862,54.15,-0.23623095090452462,17.0,1.1417
10,10,1,Timesweep,49.46,54.214,-0.2248165324159812,34.0,1.2833
11,11,1,Timesweep,49.916,54.362,-0.23274352199403991,51.0,1.425
12,12,1,Timesweep,50.123,54.229,-0.24089158670489974,68.0,1.5667
13,13,1,Timesweep,50.014,53.865,-0.24656033805922228,85.0,1.7083
14,14,1,Timesweep,49.767,54.221,-0.2322599058516075,102.0,1.85
15,15,1,Timesweep,50.001,54.016,-0.24275250932205283,119.0,1.9917
16,16,2,No,49.544,53.774,-0.2369356407512926,,
17,17,2,No,50.034,54.013,-0.24364178031881223,,
18,18,2,No,49.4,53.96,-0.22908915633802818,,
19,19,2,No,49.524,53.932,-0.23281403016687685,,
20,20,2,No,49.712,53.843,-0.23953948443586004,,
21,21,2,No,49.747,54.303,-0.2299046734872845,,
22,22,2,Timesweep,49.282,53.838,-0.22893180909914923,0.0,2.0
23,23,2,Timesweep,48.978,53.759,-0.22314584538626092,17.0,2.0944
24,24,2,Timesweep,49.199,53.63,-0.2316203547354092,34.0,2.1889
25,25,2,Timesweep,49.881,54.07,-0.23853179801627533,51.0,2.2833
26,26,2,Timesweep,49.3,53.8,-0.2302490059851301,68.0,2.3778
27,27,2,Timesweep,49.558,53.734,-0.2382062149722708,85.0,2.4722
28,28,2,Timesweep,49.012,53.539,-0.22902452385139815,102.0,2.5667
29,29,2,Timesweep,48.615,53.841,-0.21223146295759743,119.0,2.6611
30,30,2,Timesweep,49.313,53.699,-0.23288794182424266,136.0,2.7556
31,31,2,Timesweep,49.35,53.727,-0.23316998341615958,153.0,2.85
32,32,2,Timesweep,48.76,53.42,-0.22542910914264325,170.0,2.9444
