,scanNumber,timesweep,status,I0,I1,conversion,tReaction,tRes
0,0,1,No,-1.015,-0.403,5.037220843672456,,
1,1,1,No,44.281,49.312,1.795952303698897,,
2,2,1,No,48.452,53.195,1.821674969452016,,
3,3,1,No,49.489,53.848,1.8380998365770316,,
4,4,1,No,49.903,53.837,1.8538551553764138,,
5,5,1,Timesweep,49.666,54.0,1.8394814814814813,0.0,1.0
6,6,1,Timesweep,49.896,54.095,1.8447545983917184,17.0,1.14
7,7,1,Timesweep,49.419,54.081,1.8275919454152103,34.0,1.28
8,8,1,Timesweep,49.64,54.112,1.8347131874630396,51.0,1.42
9,9,1,Timesweep,49.862,54.15,1.8416251154201293,68.0,1.57
10,10,1,Timesweep,49.46,54.214,1.8246209466189547,85.0,1.71
11,11,1,Timesweep,49.916,54.362,1.8364298590927484,102.0,1.85
